serial,team_serial,player_serial,team,team_,player,birth_weekday,birth_monthday,birth_month,birth_year, age ,club,height,foot,international_matches,goals,debut,market_value_euro,market_value ,value,position,is_foreigner,team_country,squad_size,average_age,foreigners,confederation,FIFA_world_ranking,total_value_euro,total_value, team_value 
328,13,19,Oman,Oman,Zahir Al-Aghbari,Monday,28,5,1999,22,Mes Rafsanjan,174,right,8,,"Nov 14, 2019",€350Th.," $396,000 ",350000,Right Winger,1,Iran,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
329,13,20,Oman,Oman,Jameel Al Yahmadi,Thursday,27,7,1996,25,Al-Markhiya Sports Club,168,-,30,2,"Mar 24, 2016",€300Th. ," $339,000 ",300000,Right Winger,1,Qatar,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
330,13,21,Oman,Oman,Essam Al-Subhi,Tuesday,1,5,1997,24,Al Rustaq,,-,3,,-,€175Th. ," $198,000 ",175000,Right Winger,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
331,13,22,Oman,Oman,Abdul Aziz Al-Muqbali,Saturday,23,4,1989,32,Al-Seeb Club,181,-,86,29,-,€350Th.," $396,000 ",350000,Centre-Forward,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
332,13,23,Oman,Oman,Khalid Al Hajri,Monday,10,3,1994,27,Dhofar Club,182,-,27,14,"Mar 28, 2017",€250Th.," $283,000 ",250000,Centre-Forward,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
333,14,1,Palestine,Palestine,Rami Hamada,Friday,24,3,1994,27,Shabab Al-Khalil,183,right,28,,"Mar 22, 2017",€200Th.," $226,000 ",200000,Goalkeeper,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
334,14,2,Palestine,Palestine,Tawfiq Ali,Saturday,8,11,1990,30,Markaz Shabab Al-Am'ari,195,-,38,,"Dec 22, 2011",€175Th.," $198,000 ",175000,Goalkeeper,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
335,14,3,Palestine,Palestine,Ghanem Mahajna,Wednesday,20,4,1991,30,Ahva Kfar Manda,187,-,1,,"Oct 10, 2017",€100Th. ," $113,000 ",100000,Goalkeeper,1,Israel,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
336,14,4,Palestine,Palestine,Yaser Hamed,Tuesday,9,12,1997,23,Without Club,188,right,15,5,"Jul 30, 2019",€300Th. ," $339,000 ",300000,Centre-Back,1,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
337,14,5,Palestine,Palestine,Mohammed Khalil,Friday,5,4,1998,23,Al-Bireh Youth Foundation,,-,2,,-,€175Th. ," $198,000 ",175000,Centre-Back,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
338,14,6,Palestine,Palestine,Abdelatif Al Bahdari,Saturday,20,2,1984,37,Markaz Balata,188,both,73,9,"Jul 3, 2011",€100Th. ," $113,000 ",100000,Centre-Back,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
339,14,7,Palestine,Palestine,Mohammed Samar,Monday,18,10,1996,25,Al-Quds Hilal Club,,-,,,-,€100Th.," $113,000 ",100000,Centre-Back,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
340,14,8,Palestine,Palestine,Mohammed Saleh,Sunday,18,7,1993,28,Qanah FC,186,right,11,,"Oct 5, 2016",€100Th.," $113,000 ",100000,Centre-Back,1,Egypt,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
341,14,9,Palestine,Palestine,Ahmed Qatmish,Monday,10,3,1998,23,Markaz Balata,,-,4,,"Jan 17, 2020",€125Th.," $141,000 ",125000,Left-Back,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
342,14,10,Palestine,Palestine,Mus'ab Al-Batat,Monday,21,11,1993,27,Cleopatra FC,168,right,44,1,"Apr 17, 2013",€325Th.," $367,000 ",325000,Right-Back,1,Egypt,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
343,14,11,Palestine,Palestine,Mousa Farawi,Tuesday,22,3,1998,23,Shabab Al-Khalil,,right,7,,"Jul 30, 2019",€125Th.," $141,000 ",125000,Right-Back,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
344,14,12,Palestine,Palestine,Mohammed Yameen,Sunday,19,9,1994,27,Al-Quds Hilal Club,175,right,24,1,-,€250Th. ," $283,000 ",250000,Defensive Midfield,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
345,14,13,Palestine,Palestine,Mohammed Rashid,Tuesday,3,7,1995,26,PERSIB Bandung,183,right,13,,"Sep 6, 2018",€250Th.," $283,000 ",250000,Defensive Midfield,1, Indonesia,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
346,14,14,Palestine,Palestine,Oday Kharoub,Tuesday,5,2,1993,28,Shabab Al-Khalil,173,right,9,,"Jun 6, 2017",€175Th. ," $198,000 ",175000,Defensive Midfield,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
347,14,15,Palestine,Palestine,Mohammed Darwish,Saturday,2,6,1991,30,Al-Quds Hilal Club,184,-,40,,"Jun 11, 2015",€175Th.," $198,000 ",175000,Defensive Midfield,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
348,14,16,Palestine,Palestine,Mohamed Darwish,Saturday,20,2,1997,24,KF Trepca 89,180,right,4,,"Jan 15, 2020",€125Th.," $141,000 ",125000,Central Midfield,1,Kosovo,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
349,14,17,Palestine,Palestine,Ameed Sawafta,Thursday,10,7,2000,21,Tubas SC,,-,,,-,€75Th.," $85,000 ",75000,Central Midfield,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
350,14,18,Palestine,Palestine,Mahmoud Abu Warda,Friday,31,5,1995,26,Al-Quds Hilal Club,170,-,12,1,"Jul 30, 2019",€175Th.," $198,000 ",175000,Right Midfield,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
351,14,19,Palestine,Palestine,Tamer Seyam,Saturday,25,11,1992,28,Shabab Al-Khalil,186,left,42,6,"May 19, 2014",€175Th. ," $198,000 ",175000,Left Winger,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
352,14,20,Palestine,Palestine,Islam Batran,Monday,1,10,1994,27,Al-Quds Hilal Club,180,left,20,3,"Oct 5, 2016",€225Th.," $254,000 ",225000,Right Winger,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
353,14,21,Palestine,Palestine,Layth Kharoub,Friday,11,7,1991,30,Markaz Balata,176,right,4,3,"Jan 15, 2020",€200Th. ," $226,000 ",200000,Right Winger,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
354,14,22,Palestine,Palestine,Oday Dabbagh,Monday,3,12,1998,22,FC Arouca,183,left,22,8,"Mar 27, 2018",€700Th.," $791,000 ",700000,Centre-Forward,1,Portugal,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
355,14,23,Palestine,Palestine,Khaled Salem,Wednesday,17,11,1989,31,Hidd SCC,188,left,36,6,"Aug 22, 2011",€175Th.," $198,000 ",175000,Centre-Forward,1,Bahrain,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
356,14,24,Palestine,Palestine,Sameh Maraaba,Friday,19,3,1992,29,Markaz Shabab Al-Am'ari,180,-,40,11,"Jun 11, 2015",€175Th.," $198,000 ",175000,Centre-Forward,0,-,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
357,14,25,Palestine,Palestine,Badr Mousa,Friday,11,4,1999,22,Entag El Harby,,-,,,-,€50Th. ," $57,000 ",50000,Centre-Forward,1,Egypt,25,27.3,9,AFC,100,€4.75m,$4.8m,"4,750,000"
358,15,1,Qatar,Qatar,Saad Al-Sheeb,Friday,19,2,1990,31,Al-Sadd SC,184,right,50,,-,€350Th.," $396,000 ",350000,Goalkeeper,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
359,15,2,Qatar,Qatar,Salah Zakaria,Monday,24,4,1999,22,Al-Duhail SC,185,-,,,-,€300Th.," $339,000 ",300000,Goalkeeper,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
360,15,3,Qatar,Qatar,Meshaal Barsham,Saturday,14,2,1998,23,Al-Sadd SC,180,right,1,,"Nov 17, 2020",€275Th. ," $311,000 ",275000,Goalkeeper,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
361,15,4,Qatar,Qatar,Yousef Hassan,Wednesday,24,5,1996,25,Al-Gharafa SC,,-,8,,"Sep 7, 2018",€100Th. ," $113,000 ",100000,Goalkeeper,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
362,15,5,Qatar,Qatar,Mahmoud Abunada,Tuesday,5,2,2000,21,Al-Arabi SC,,-,,,-,€100Th.," $113,000 ",100000,Goalkeeper,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
363,15,6,Qatar,Qatar,Pedro Miguel,Tuesday,6,8,1990,31,Al-Sadd SC,182,right,46,1,"Mar 29, 2016",€700Th. ," $791,000 ",700000,Centre-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
364,15,7,Qatar,Qatar,Boualem Khoukhi,Wednesday,9,7,1990,31,Al-Sadd SC,180,right,63,17,"Dec 25, 2014",€700Th. ," $791,000 ",700000,Centre-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
365,15,8,Qatar,Qatar,Tarek Salman,Thursday,5,12,1997,23,Al-Sadd SC,179,right,20,,"Aug 23, 2017",€550Th. ," $622,000 ",550000,Centre-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
366,15,9,Qatar,Qatar,Bassam Al-Rawi,Thursday,16,12,1997,23,Al-Duhail SC,175,right,21,2,"Nov 11, 2017",€450Th.," $509,000 ",450000,Centre-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
367,15,10,Qatar,Qatar,Ahmed Suhail,Friday,8,2,1999,22,Al-Arabi SC,183,right,2,,"Mar 30, 2021",€250Th.," $283,000 ",250000,Centre-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
368,15,11,Qatar,Qatar,Abdelkarim Hassan,Tuesday,28,8,1993,28,Al-Sadd SC,186,left,85,11,-,€900Th. , $1m ,900000,Left-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
369,15,12,Qatar,Qatar,Sultan Al-Brake,Sunday,7,4,1996,25,Al-Duhail SC,175,left,3,,"Jul 9, 2018",€400Th. ," $452,000 ",400000,Left-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
370,15,13,Qatar,Qatar,Homam Ahmed,Friday,25,8,1999,22,Al-Gharafa SC,186,left,13,2,"Nov 14, 2019",€300Th.," $339,000 ",300000,Left-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
371,15,14,Qatar,Qatar,Musab Khoder,Monday,1,1,1993,28,Al-Sadd SC,174,right,8,,"Mar 29, 2016",€275Th. ," $311,000 ",275000,Right-Back,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
372,15,15,Qatar,Qatar,Karim Boudiaf,Thursday,16,9,1990,31,Al-Duhail SC,187,right,70,5,"Dec 27, 2014",€650Th.," $735,000 ",650000,Defensive Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
373,15,16,Qatar,Qatar,Assim Madibo,Saturday,22,10,1996,25,Al-Duhail SC,168,right,22,,"Dec 23, 2017",€450Th.," $509,000 ",450000,Defensive Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
374,15,17,Qatar,Qatar,Jassem Gaber Abdulsallam,Saturday,20,2,2002,19,Al-Arabi SC,183,right,,,-,€250Th. ," $283,000 ",250000,Defensive Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
375,15,18,Qatar,Qatar,Abdulaziz Hatem,Sunday,28,10,1990,31,Al-Rayyan SC,183,left,69,4,"Dec 30, 2009",€700Th.," $791,000 ",700000,Central Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
376,15,19,Qatar,Qatar,Ahmad Doozandeh,Thursday,20,10,1995,26,Qatar SC,172,right,4,,"May 29, 2016",€350Th. ," $396,000 ",350000,Central Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
377,15,20,Qatar,Qatar,Abdullah Marafee,Monday,13,4,1992,29,Al-Arabi SC,,-,,,-,€300Th.," $339,000 ",300000,Central Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
378,15,21,Qatar,Qatar,Mohammed Al-Bayati,Saturday,18,9,1999,22,Al-Sadd SC,183,left,7,,"Nov 13, 2020",€250Th. ," $283,000 ",250000,Central Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
379,15,22,Qatar,Qatar,Khalid Mohammed,Friday,7,6,2000,21,Al-Ahli SC,165,right,1,,"Dec 27, 2018",€225Th.," $254,000 ",225000,Central Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
380,15,23,Qatar,Qatar,Abdullah Al-Ahrak,Saturday,10,5,1997,24,Al-Duhail SC,175,right,4,,"Sep 5, 2017",€425Th. ," $480,000 ",425000,Attacking Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
381,15,24,Qatar,Qatar,Ali Asad,Tuesday,19,1,1993,28,Al-Sadd SC,175,right,42,11,"Dec 27, 2014",€250Th. ," $283,000 ",250000,Attacking Midfield,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
382,15,25,Qatar,Qatar,Akram Afif,Thursday,18,11,1996,24,Al-Sadd SC,177,right,59,16,"Sep 3, 2015",€3.70m , $4.2m ,3700000,Left Winger,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
383,15,26,Qatar,Qatar,Yusuf Abdurisag,Tuesday,6,8,1999,22,Al-Sadd SC,177,right,5,1,-,€250Th. ," $283,000 ",250000,Left Winger,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
384,15,27,Qatar,Qatar,Hasan Al-Haydos,Thursday,11,12,1990,30,Al-Sadd SC,174,right,132,28,"Aug 11, 2008",€1.80m, $2m ,1800000,Right Winger,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
385,15,28,Qatar,Qatar,Ismaeel Mohammed,Friday,5,4,1990,31,Al-Duhail SC,168,right,36,3,"Dec 27, 2014",€300Th. ," $339,000 ",300000,Right Winger,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
386,15,29,Qatar,Qatar,Almoez Ali,Thursday,19,8,1996,25,Al-Duhail SC,180,right,43,23,"Aug 25, 2016",€3.00m, $3.4m ,3000000,Centre-Forward,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
387,15,30,Qatar,Qatar,Mohammed Muntari,Tuesday,20,12,1993,27,Al-Duhail SC,194,right,21,7,"Dec 27, 2014",€750Th.," $848,000 ",750000,Centre-Forward,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
388,15,31,Qatar,Qatar,Ahmed Alaaeldin,Thursday,31,1,1993,28,Al-Gharafa SC,177,left,25,1,-,€700Th.," $791,000 ",700000,Centre-Forward,0,-,31,26.3,0,AFC,46,€20.00m,$20m,"20,000,000"
389,16,1,Saudi Arabia,Saudi_Arabia,Mohammed Al-Owais,Friday,10,10,1991,30,Al-Ahli Jeddah,185,left,27,,"Sep 1, 2015",€1.80m, $2m ,1800000,Goalkeeper,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
390,16,2,Saudi Arabia,Saudi_Arabia,Zaid Al-Bawardi,Monday,1,1,1997,24,Al-Shabab Riyadh,188,left,,,-,€550Th.," $622,000 ",550000,Goalkeeper,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
391,16,3,Saudi Arabia,Saudi_Arabia,Fawaz Al-Qarni,Monday,2,4,1992,29,Al-Shabab Riyadh,185,right,9,,"Dec 9, 2012",€200Th.," $226,000 ",200000,Goalkeeper,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
392,16,4,Saudi Arabia,Saudi_Arabia,Abdullah Madu,Wednesday,15,7,1993,28,Al-Nassr Riad,186,left,9,,-,€1.10m, $1.2m ,1100000,Centre-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
393,16,5,Saudi Arabia,Saudi_Arabia,Ali Al-Boleahi,Monday,21,11,1989,31,Al-Hilal Riyadh,178,left,21,,-,€550Th. ," $622,000 ",550000,Centre-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
394,16,6,Saudi Arabia,Saudi_Arabia,Mohammed Al-Khabrani,Wednesday,14,10,1993,28,Al-Ahli Jeddah,178,right,17,2,"Nov 13, 2017",€500Th.," $565,000 ",500000,Centre-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
395,16,7,Saudi Arabia,Saudi_Arabia,Abdulelah Al-Amri,Thursday,15,1,1997,24,Al-Nassr Riad,183,right,5,1,-,€500Th.," $565,000 ",500000,Centre-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
396,16,8,Saudi Arabia,Saudi_Arabia,Hussain Qasim,Wednesday,21,9,1997,24,Al-Faisaly Harmah,,left,,,-,€25Th.," $28,000 ",25000,Left-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
397,16,9,Saudi Arabia,Saudi_Arabia,Sultan Al-Ghannam,Monday,6,5,1994,27,Al-Nassr Riad,173,right,15,,-,€2.70m, $3.1m ,2700000,Right-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
398,16,10,Saudi Arabia,Saudi_Arabia,Saud Abdulhamid,Sunday,18,7,1999,22,Al-Ittihad Jeddah,178,right,8,,"Sep 5, 2019",€850Th.," $961,000 ",850000,Right-Back,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
399,16,11,Saudi Arabia,Saudi_Arabia,Ali Al-Hassan,Monday,4,3,1997,24,Al-Nassr Riad,176,right,2,1,-,€650Th. ," $735,000 ",650000,Defensive Midfield,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
400,16,12,Saudi Arabia,Saudi_Arabia,Mohamed Kanno,Thursday,22,9,1994,27,Al-Hilal Riyadh,192,right,22,1,-,€2.80m, $3.2m ,2800000,Central Midfield,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
401,16,13,Saudi Arabia,Saudi_Arabia,Abdulelah Al-Malki,Saturday,11,10,1994,27,Al-Ittihad Jeddah,170,right,16,,"Oct 10, 2019",€1.60m, $1.8m ,1600000,Central Midfield,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
402,16,14,Saudi Arabia,Saudi_Arabia,Salman Al-Faraj,Wednesday,1,8,1989,32,Al-Hilal Riyadh,180,left,56,7,-,€1.40m , $1.6m ,1400000,Central Midfield,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
403,16,15,Saudi Arabia,Saudi_Arabia,Nasser Al-Dawsari,Sunday,19,12,1998,22,Al-Hilal Riyadh,178,left,2,,-,€75Th.," $85,000 ",75000,Central Midfield,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
404,16,16,Saudi Arabia,Saudi_Arabia,Sami Al-Najei,Thursday,7,2,1997,24,Al-Nassr Riad,181,left,7,,"Jan 14, 2017",€650Th. ," $735,000 ",650000,Attacking Midfield,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
405,16,17,Saudi Arabia,Saudi_Arabia,Abdulrahman Ghareeb,Sunday,31,3,1997,24,Al-Ahli Jeddah,164,right,13,1,"Oct 12, 2018",€2.20m, $2.5m ,2200000,Left Winger,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
406,16,18,Saudi Arabia,Saudi_Arabia,Fahad Al-Muwallad,Monday,14,9,1994,27,Al-Ittihad Jeddah,167,right,62,17,-,€1.40m, $1.6m ,1400000,Right Winger,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
407,16,19,Saudi Arabia,Saudi_Arabia,Mohammed Al-Kuwaykibi,Sunday,2,12,1994,26,Al-Ettifaq,169,left,9,,"Mar 23, 2018",€1.00m, $1.1m ,1000000,Right Winger,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
408,16,20,Saudi Arabia,Saudi_Arabia,Abdulrahman Al-Obood,Tuesday,10,6,1995,26,Al-Ittihad Jeddah,174,right,1,,-,€800Th.," $904,000 ",800000,Right Winger,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
409,16,21,Saudi Arabia,Saudi_Arabia,Ayman Yahya,Thursday,14,5,2001,20,Al-Nassr Riad,,-,3,,-,€750Th. ," $848,000 ",750000,Right Winger,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
410,16,22,Saudi Arabia,Saudi_Arabia,Saleh Al-Shehri,Thursday,1,11,1993,28,Al-Hilal Riyadh,184,right,10,6,-,€1.80m , $2m ,1800000,Centre-Forward,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
411,16,23,Saudi Arabia,Saudi_Arabia,Firas Al-Buraikan,Thursday,14,5,2000,21,Al-Fateh,181,left,12,4,"Oct 10, 2019",€350Th. ," $396,000 ",350000,Centre-Forward,0,-,23,26.3,0,AFC,49,€24.25m,$24.3m,"24,250,000"
412,17,1,Somalia,Somalia,Mustaf Yuusuf,Thursday,12,3,2002,19,Oskarshamns AIK,190,right,,,-,_, - ,,Goalkeeper,1,Sweden,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
413,17,2,Somalia,Somalia,Hassan Ibrahim Ali,Monday,4,11,1996,24,Dekedaha FC,,-,,,-,_, - ,,Goalkeeper,0,-,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
414,17,3,Somalia,Somalia,Zayd Farah,Sunday,12,1,2000,21,Perth Glory,,-,,,-,€50Th. ," $57,000 ",50000,Centre-Back,1,New Zealand,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
415,17,4,Somalia,Somalia,Abel Gigli,Monday,16,8,1990,31,Alma Juventus Fano 1906,189,right,2,,"Sep 5, 2019",€25Th. ," $28,000 ",25000,Centre-Back,1,Italy,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
416,17,5,Somalia,Somalia,Ahmed Said Ahmed,Thursday,4,7,1998,23,Myllykosken Pallo -47,188,right,2,,"Sep 5, 2019",_, - ,,Centre-Back,1,Finland,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
417,17,6,Somalia,Somalia,Mohamud Ali,Tuesday,8,7,1994,27,Warrington Town,,right,2,,"Sep 5, 2019",_, - ,,Centre-Back,1,England,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
418,17,7,Somalia,Somalia,Yonis Farah,Wednesday,4,9,1999,22,Eskilstuna City,175,left,2,,"Sep 5, 2019",_, - ,,Left-Back,1,Sweden,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
419,17,8,Somalia,Somalia,Abas Amin Mohamed,Monday,1,1,1996,25,Dekedda FC,,-,5,1,"Oct 9, 2015",_, - ,,midfield,0,-,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
420,17,9,Somalia,Somalia,Omar Jama,Saturday,21,5,1998,23,IF Gnistan,175,right,,,-,€50Th. ," $57,000 ",50000,Central Midfield,1,Finland,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
421,17,10,Somalia,Somalia,Liban Abdulahi,Friday,2,11,1995,26,Thór Akureyri,178,right,2,,"Dec 7, 2019",€25Th. ," $28,000 ",25000,Central Midfield,1,Iceland,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
422,17,11,Somalia,Somalia,Isse Ismail,Saturday,8,3,1999,22,IFK Värnamo,,-,,,-,€25Th.," $28,000 ",25000,Central Midfield,1,Sweden,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
423,17,12,Somalia,Somalia,Fahad Mohamed,Monday,21,3,2000,21,Atlantis FC,184,left,,,-,_, - ,,Central Midfield,1,Finland,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
424,17,13,Somalia,Somalia,Abdulsamed Abdullahi,Tuesday,19,1,1997,24,GS Ergotelis,183,right,2,,"Sep 5, 2019",€250Th.," $283,000 ",250000,Left Midfield,1,Greece,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
425,17,14,Somalia,Somalia,Saadiq Faisal Elmi,Tuesday,11,11,2000,20,Grorud IL,,-,1,,"Jun 21, 2021",€50Th. ," $57,000 ",50000,Attack,1,Norway,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
426,17,15,Somalia,Somalia,Hussein Mohamed,Sunday,20,3,1997,24,FC Haka,181,right,1,,-,€100Th.," $113,000 ",100000,Left Winger,1,Finland,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
427,17,16,Somalia,Somalia,Mohamed Awad,Tuesday,7,5,1994,27,Auckland City FC,170,left,,,-,€200Th.," $226,000 ",200000,Right Winger,1,New Zealand,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
428,17,17,Somalia,Somalia,Siad Haji,Saturday,1,12,1999,21,San Jose Earthquakes,173,-,,,-,€175Th. ," $198,000 ",175000,Right Winger,1,United States,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
429,17,18,Somalia,Somalia,Abd-El-Aziz Yousef,Saturday,5,10,1999,22,Heegan FC,150,left,2,,"Sep 5, 2019",_, - ,,Right Winger,0,-,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
430,17,19,Somalia,Somalia,Ali Musse,Monday,1,1,1996,25,Cavalry FC,180,left,4,,-,€75Th.," $85,000 ",75000,Centre-Forward,1,Canada,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
431,17,20,Somalia,Somalia,Anwar Shakunda,Sunday,12,4,1999,22,Elman FC,,-,3,1,"Sep 5, 2019",_, - ,,Centre-Forward,0,-,20,24,16,CAF,195,€1.03m,$1m,"1,030,000"
432,18,1,South Sudan,South_Sudan,Majak Mawith,Saturday,18,9,1999,22,Port Melbourne Sharks,,-,5,,"Sep 4, 2019",€25Th.," $28,000 ",25000,Goalkeeper,1,Australia,23,24.7,15,CAF,167,€50Th.,"$50,000","50,000"
433,18,2,South Sudan,South_Sudan,Ramadan John,Wednesday,17,3,2000,21,Al-Malakia FC,,-,2,,"Aug 4, 2019",_, - ,,Goalkeeper,0,-,23,24.7,15,CAF,167,€50Th.,"$50,000","50,000"
434,18,3,South Sudan,South_Sudan,Nassir Haidar,Saturday, -   ,1,-,0,Gudele FC,,-,,,-,_, - ,,Goalkeeper,0,-,23,24.7,15,CAF,167,€50Th.,"$50,000","50,000"
435,18,4,South Sudan,South_Sudan,John Kuol,Sunday,9,11,1999,21,FC Kariobangi Sharks,,-,1,,"Oct 9, 2019",_, - ,,Defence,1,Kenya,23,24.7,15,CAF,167,€50Th.,"$50,000","50,000"
436,18,5,South Sudan,South_Sudan,Peter Maker,Monday,1,1,1994,27,ZESCO United FC,198,-,10,,"Sep 9, 2018",_, - ,,Centre-Back,1,Zambia,23,24.7,15,CAF,167,€50Th.,"$50,000","50,000"
